"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Thu Jan 25 06:05:09 +0000 2024","1750399386067378530","Dalam upaya mendukung Prabowo-Gibran  INKUD Jawa Tengah mengadakan acara konsolidasi dan memberikan bantuan alat genset kepada masyarakat di Jawa Tengah. #PrabowoMenangKoperasiJaya https://t.co/ctToP6mhNY","0","0","9","6","in","1413689671821893641","1750399386067378530","Septyamaliaa","https://twitter.com/Septyamaliaa/status/1750399386067378530","https://pbs.twimg.com/media/GEqq9bLaEAAUU3y.jpg",""
"Thu Jan 25 06:21:24 +0000 2024","1750403476696584677","Kalau terjadi satu putaran dan pemenangnya bukan Prabowo-Gibran  keknya asyik ya... Hemat uang negara  hemat uang Prabowo  ambisi culas dinasti pun buyar. Tingkah barbar dan arogansi kekuasaan bisa dihentikan.   Rakyat kemungkinan besar akan lebih senang dgn kondisi di atas.","29","129","636","2403","in","907897495044317185","1750403476696584677","UyokBack","https://twitter.com/UyokBack/status/1750403476696584677","",""
"Thu Jan 25 06:44:59 +0000 2024","1750409410839711893","Inkud membagikan bantuan genset di jawa tengah karena dukung prabowo gibran #PrabowoMenangKoperasiJaya https://t.co/eGmSFbXCX4","0","0","6","4","in","1320675543864332288","1750409410839711893","jkunmyeon","https://twitter.com/jkunmyeon/status/1750409410839711893","https://pbs.twimg.com/media/GEq0Eyua0AAyKj2.jpg","she / her"
"Thu Jan 25 05:53:51 +0000 2024","1750396542463430890","Masyarakat semakin yakin bahwa Prabowo-Gibran adalah pasangan yang tepat untuk melanjutkan estafet kepemimpinan pak Jokowi. Dukungan mereka terus bertambah dari berbagai kalangan  termasuk dari komunitas koperasi. #PrabowoMenangKoperasiJaya https://t.co/hvNJD7Y6VF","0","0","9","6","in","1720514749979619328","1750396542463430890","friskasanti_","https://twitter.com/friskasanti_/status/1750396542463430890","https://pbs.twimg.com/media/GEqoYBrbIAAUHUW.jpg",""
"Thu Jan 25 06:27:56 +0000 2024","1750405120578437161","Ratusan emak-emak dan buruh tani serta nelayan di Situbondo mendeklarasikan dukungan untuk pasangan calon presiden dan wakil presiden nomor urut 02 Prabowo Subianto-Gibran Rakabuming Raka. #PrabowoMenangKoperasiJaya https://t.co/KYqNAjA6Iv","0","0","6","5","in","1316906354401931265","1750405120578437161","SE0K0","https://twitter.com/SE0K0/status/1750405120578437161","https://pbs.twimg.com/media/GEqwLkYaEAAICHA.jpg","s/her."
"Thu Jan 25 06:49:37 +0000 2024","1750410578592764084","Faktanya  Jokowi mainnya kasar sekali di pilpres kali ini. Gibran dipaksakan maju  gelagat tidak netralnya aparat  dan masih banyak lagi. Ya nggak perlu dipungkiri.  Namun dalam hati kadang masih sulit untuk tidak percaya ke Jokowi.  Mungkin itu yang dirasakan bro dan sis PSI … https://t.co/b53LBKwj5t","6","68","31","105","in","185156524","1750410578592764084","hasyimmah","https://twitter.com/hasyimmah/status/1750410578592764084","https://pbs.twimg.com/amplify_video_thumb/1750410221166710784/img/qsWev-KE__W98Hk6.jpg","Mojokerto"
"Thu Jan 25 05:52:38 +0000 2024","1750396238594449775","Dukungan kepada Prabowo-Gibran semakin meluas dari berbagai kalangan masyarakat  menunjukkan keyakinan mereka terhadap kepemimpinan mereka untuk melanjutkan estafet kepemimpinan pak Jokowi. #PrabowoMenangKoperasiJaya https://t.co/0at2M0WlMc","0","0","9","7","in","1720514749979619328","1750396238594449775","friskasanti_","https://twitter.com/friskasanti_/status/1750396238594449775","https://pbs.twimg.com/media/GEqoGWebMAARdCv.jpg",""
"Thu Jan 25 07:48:17 +0000 2024","1750425342261821559","Koperasi Unit Desa (KUD) Se-Jateng siap menangkan pasangan Prabowo-Gibran. #PrabowoMenangKoperasiJaya https://t.co/QoqyyXYtE8","0","0","2","3","in","2306717563","1750425342261821559","jessiellence","https://twitter.com/jessiellence/status/1750425342261821559","https://pbs.twimg.com/media/GErCkpWasAA1iP6.jpg","DKI Jakarta, Indonesia"
"Thu Jan 25 06:19:18 +0000 2024","1750402947450872119","Indonesia pasti akan menjadi emas tahun 2045 di tangan Prabowo-Gibran  karena mereka akan melakukan banyak perubahan dan melaksanakan visi dan misi yang mereka punya untuk mewujudkan kekuatan masyarakat agar dapat menggapai Indonesia emas di tahun 2045. #PrabowoMenangKoperasiJaya https://t.co/BQVeh2TCJ5","0","0","6","4","in","1412184751","1750402947450872119","DEWIKECEB0NG","https://twitter.com/DEWIKECEB0NG/status/1750402947450872119","https://pbs.twimg.com/media/GEquNGFaMAAtauW.jpg","loving opuy endlessly 🫶🏻"
"Thu Jan 25 06:42:16 +0000 2024","1750408729886150920","Ratusan Emak2  Buruh Tani &amp; Nelayan situbondo dukung Prabowo - Gibran. Mantap ini lurr 👍 #PrabowoMenangKoperasiJaya https://t.co/86cMTcRCrC","0","0","9","7","in","255928541","1750408729886150920","eribgo","https://twitter.com/eribgo/status/1750408729886150920","https://pbs.twimg.com/media/GEqzdq6aEAAp2mv.jpg",""
